week,week_ended,total_deaths_all_ages,total_deaths_avg_corresponding_5,respitory_deaths,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east,london,south_east,south_west,wales
1,2015-01-02 00:00:00,12286,11837.6,2418,699,1718,1261,1012,1296,1221,1233,1811,1272,725
2,2015-01-09 00:00:00,16237,12277,3521,753,2282,1607,1328,1713,1712,1549,2525,1697,1031
3,2015-01-16 00:00:00,14866,11145,3251,799,1968,1442,1286,1542,1657,1275,2427,1498,936
4,2015-01-23 00:00:00,13934,10714,2734,798,1806,1386,1206,1400,1565,1220,2196,1510,828
5,2015-01-30 00:00:00,12900,10492,2278,717,1669,1220,1119,1395,1450,1119,1991,1398,801
6,2015-02-06 00:00:00,12039,10320.4,2115,669,1586,1151,1071,1229,1360,1097,1843,1297,720
7,2015-02-13 00:00:00,11822,10325,1985,661,1608,1128,1021,1161,1284,1108,1836,1283,710
8,2015-02-20 00:00:00,11434,10429.8,1994,669,1466,1068,965,1152,1276,1102,1713,1257,739
9,2015-02-27 00:00:00,11472,10313.8,1931,606,1466,1113,973,1149,1286,1062,1767,1290,736
10,2015-03-06 00:00:00,11469,10203.6,1806,622,1559,1106,966,1188,1232,1063,1709,1290,712
11,2015-03-13 00:00:00,10951,10160.2,1744,573,1462,1040,904,1101,1172,1070,1731,1219,661
12,2015-03-20 00:00:00,10568,10020.6,1642,566,1401,982,872,1083,1158,1092,1531,1192,680
13,2015-03-27 00:00:00,10493,9169.4,1550,512,1392,1032,891,1071,1098,1080,1566,1164,666
14,2015-04-03 00:00:00,9062,9734,1393,490,1251,841,784,980,971,877,1352,920,580
15,2015-04-10 00:00:00,10089,10172.6,1525,533,1384,1023,917,994,1062,1002,1488,1005,660
16,2015-04-17 00:00:00,11639,9666.2,1730,626,1521,1103,999,1294,1289,1089,1810,1212,671
17,2015-04-24 00:00:00,10599,9557.6,1550,601,1405,1009,889,1115,1050,1000,1708,1129,662
18,2015-05-01 00:00:00,10134,9771,1469,516,1385,950,856,1053,1112,961,1530,1110,628
19,2015-05-08 00:00:00,8862,9182.8,1250,503,1166,895,748,949,910,827,1343,901,589
20,2015-05-15 00:00:00,10290,9479.4,1404,544,1404,1038,890,1057,1099,949,1552,1100,622
21,2015-05-22 00:00:00,10005,9414.4,1325,514,1367,989,870,1018,989,906,1587,1122,614
22,2015-05-29 00:00:00,8213,8410.4,1074,457,1116,866,663,844,838,793,1216,816,588
23,2015-06-05 00:00:00,10157,8867.4,1256,472,1337,1024,865,1042,1150,961,1538,1094,648
24,2015-06-12 00:00:00,9548,9181.8,1242,528,1262,953,817,975,997,880,1483,1022,606
25,2015-06-19 00:00:00,9312,8815.4,1234,459,1248,896,757,943,1020,892,1496,983,595
26,2015-06-26 00:00:00,9190,8811.8,1168,514,1254,916,756,927,998,887,1396,916,597
27,2015-07-03 00:00:00,9205,8758,1121,489,1293,868,750,964,977,901,1382,1017,535
28,2015-07-10 00:00:00,9015,8610.6,1022,491,1238,851,817,941,939,842,1370,949,554
29,2015-07-17 00:00:00,8802,8667.6,977,466,1127,855,781,882,952,881,1320,933,574
30,2015-07-24 00:00:00,8791,8606,960,459,1196,846,734,938,934,833,1382,905,529
31,2015-07-31 00:00:00,8617,8652.2,940,437,1195,846,715,917,941,780,1217,1000,546
32,2015-08-07 00:00:00,8862,8543,1006,462,1227,953,664,913,908,858,1388,895,564
33,2015-08-14 00:00:00,9148,8560.2,1055,458,1250,888,792,950,1014,879,1370,974,548
34,2015-08-21 00:00:00,9121,8689,978,475,1223,915,747,969,943,901,1364,1000,557
35,2015-08-28 00:00:00,9026,7755.4,1074,445,1262,896,797,834,981,855,1358,967,603
36,2015-09-04 00:00:00,7878,9031.4,900,438,1044,772,663,774,856,803,1188,825,489
37,2015-09-11 00:00:00,9258,8719.8,1062,471,1262,931,814,932,922,867,1423,1065,554
38,2015-09-18 00:00:00,9097,8807.6,1032,462,1175,852,748,973,942,901,1448,1020,555
39,2015-09-25 00:00:00,9529,8954.6,1117,476,1267,922,795,969,981,917,1540,975,664
40,2015-10-02 00:00:00,9410,9091.4,1149,495,1260,908,814,957,984,918,1419,1086,552
41,2015-10-09 00:00:00,9776,9098.2,1198,505,1283,915,821,951,1105,976,1457,1076,652
42,2015-10-16 00:00:00,9511,9181,1165,494,1291,895,809,997,1030,912,1402,1039,612
43,2015-10-23 00:00:00,9711,9357.6,1183,480,1276,951,835,1053,1022,921,1461,1079,607
44,2015-10-30 00:00:00,9618,9468.4,1237,523,1299,886,814,967,1030,969,1506,1003,593
45,2015-11-06 00:00:00,9994,9466.8,1247,524,1409,1014,883,1084,1011,955,1482,1002,606
46,2015-11-13 00:00:00,9938,9650.8,1235,530,1376,960,767,1027,1018,993,1544,1081,613
47,2015-11-20 00:00:00,9830,9498,1317,527,1317,937,844,1071,1043,966,1470,1019,611
48,2015-11-27 00:00:00,9822,9496.8,1156,512,1322,994,844,990,1066,915,1536,1037,589
49,2015-12-04 00:00:00,10365,10208.2,1345,534,1425,1012,919,1087,1065,998,1522,1127,659
50,2015-12-11 00:00:00,10269,10440.4,1413,540,1400,1050,915,1006,1018,985,1536,1102,688
51,2015-12-18 00:00:00,10689,11221,1437,618,1526,1060,897,1101,1086,990,1656,1089,646
52,2015-12-25 00:00:00,8630,8139.2,1233,480,1167,891,707,826,916,870,1347,877,535
53,2016-01-01 00:00:00,7524,8139,1128,407,1074,755,646,799,653,766,1123,757,516
