week,week_ended,total_deaths_all_ages,total_deaths_avg_corresponding_5,respitory_deaths,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east,london,south_east,south_west,wales
1,2019-01-04 00:00:00,10955,12273,1736,574,1456,1148,964,1180,1136,1021,1586,1136,718
2,2019-01-11 00:00:00,12609,13670,2214,643,1612,1279,1089,1299,1386,1137,1927,1394,809
3,2019-01-18 00:00:00,11860,13056,1972,627,1566,1197,979,1187,1344,1073,1936,1236,683
4,2019-01-25 00:00:00,11740,12486,1942,640,1593,1137,1037,1131,1291,1045,1875,1229,734
5,2019-02-01 00:00:00,11297,11998,1931,618,1485,1131,963,1150,1202,1066,1718,1191,745
6,2019-02-08 00:00:00,11660,11623,1918,608,1595,1133,988,1241,1283,1088,1738,1251,701
7,2019-02-15 00:00:00,11824,11301,1931,569,1618,1189,1033,1231,1342,1061,1802,1207,748
8,2019-02-22 00:00:00,11295,11383,1890,610,1495,1124,928,1143,1218,1045,1777,1234,695
9,2019-03-01 00:00:00,11044,11051,1786,572,1425,1109,927,1188,1214,1009,1712,1178,684
10,2019-03-08 00:00:00,10898,11286,1657,582,1463,1083,946,1150,1116,1004,1708,1198,622
11,2019-03-15 00:00:00,10567,11095,1559,527,1393,1054,879,1092,1198,975,1601,1149,666
12,2019-03-22 00:00:00,10402,10456,1486,532,1437,1087,890,1062,1066,925,1640,1089,628
13,2019-03-29 00:00:00,9867,10076,1314,529,1278,943,875,930,1136,910,1540,1047,654
14,2019-04-05 00:00:00,10126,10268,1412,518,1277,959,876,1050,1224,928,1582,1039,642
15,2019-04-12 00:00:00,10291,10362,1396,510,1341,1034,858,1084,1188,937,1623,1037,637
16,2019-04-19 00:00:00,9025,10291,1262,459,1225,910,759,928,1014,834,1350,919,580
17,2019-04-26 00:00:00,10059,10317,1406,551,1365,996,856,1008,1084,951,1495,1053,678
18,2019-05-03 00:00:00,11207,9804,1581,541,1493,1125,986,1136,1139,1040,1782,1251,688
19,2019-05-10 00:00:00,9055,9488,1239,484,1214,924,776,906,943,807,1456,922,600
20,2019-05-17 00:00:00,10272,10036,1355,548,1402,980,887,1082,1112,927,1570,1078,658
21,2019-05-24 00:00:00,10284,9747,1324,530,1397,1024,888,1070,1097,876,1620,1126,627
22,2019-05-31 00:00:00,8260,8125,1105,436,1176,782,699,840,842,809,1252,886,518
23,2019-06-07 00:00:00,10140,9860,1290,554,1349,1025,880,1082,982,919,1516,1182,626
24,2019-06-14 00:00:00,9445,9408,1134,507,1313,889,817,950,1012,900,1452,986,598
25,2019-06-21 00:00:00,9458,9302,1134,478,1344,931,751,938,1011,900,1510,1032,542
26,2019-06-28 00:00:00,9511,9177,1143,475,1250,984,790,1013,1028,892,1481,1005,564
27,2019-07-05 00:00:00,9062,9123,1076,437,1269,896,750,940,981,833,1431,962,534
28,2019-07-12 00:00:00,9179,9170,1081,458,1272,932,747,949,995,875,1357,972,588
29,2019-07-19 00:00:00,9080,9100,1024,478,1287,841,809,962,994,829,1328,981,553
30,2019-07-26 00:00:00,9112,9023,996,534,1237,895,774,882,1024,833,1376,982,543
31,2019-08-02 00:00:00,9271,8963,1116,536,1234,936,782,929,988,911,1424,926,570
32,2019-08-09 00:00:00,9122,9026,1048,530,1149,867,795,953,1026,891,1334,1010,542
33,2019-08-16 00:00:00,9093,9025,1033,497,1237,857,749,969,933,892,1355,978,589
34,2019-08-23 00:00:00,8994,9113,981,505,1203,927,726,918,964,826,1389,963,553
35,2019-08-30 00:00:00,8242,8197,854,466,1153,832,697,826,838,784,1245,814,558
36,2019-09-06 00:00:00,9695,9177,1125,473,1248,937,867,939,1115,976,1518,1014,582
37,2019-09-13 00:00:00,9513,9260,1028,482,1328,916,774,1001,1088,916,1399,1020,567
38,2019-09-20 00:00:00,9440,9197,1056,494,1283,954,827,974,1049,889,1385,982,572
39,2019-09-27 00:00:00,9517,9283,1045,538,1299,906,842,1027,1014,840,1404,1017,611
40,2019-10-04 00:00:00,9799,9450,1114,491,1322,948,875,1008,1059,846,1573,1059,597
41,2019-10-11 00:00:00,9973,9651,1209,527,1400,1005,847,1027,1073,887,1557,1026,590
42,2019-10-18 00:00:00,10156,9726,1236,567,1400,1019,863,1093,1083,886,1556,1040,622
43,2019-10-25 00:00:00,10021,9674,1252,540,1361,1001,846,1019,1063,895,1491,1107,670
44,2019-11-01 00:00:00,10164,9777,1333,537,1338,1033,877,967,1100,976,1547,1118,642
45,2019-11-08 00:00:00,10697,10142,1363,553,1455,1053,880,1110,1181,974,1701,1102,653
46,2019-11-15 00:00:00,10650,10226,1451,607,1402,1070,889,1080,1090,1041,1690,1083,674
47,2019-11-22 00:00:00,10882,10124,1423,582,1464,1039,931,1138,1166,1023,1618,1203,699
48,2019-11-29 00:00:00,10958,10164,1566,563,1469,1139,935,1184,1116,1025,1648,1166,689
49,2019-12-06 00:00:00,10816,10585,1505,558,1477,1011,958,1083,1184,986,1647,1157,737
50,2019-12-13 00:00:00,11188,10622,1637,585,1637,1102,973,1130,1176,1044,1690,1130,699
51,2019-12-20 00:00:00,11926,11499,1839,670,1712,1173,1050,1269,1238,1028,1709,1288,767
52,2019-12-27 00:00:00,7533,8014,1166,411,1200,737,729,720,716,653,1094,766,496
