week,week_ended,total_deaths_all_ages,total_deaths_avg_corresponding_5,respitory_deaths,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east,london,south_east,south_west,wales
1,2016-01-08 00:00:00,13045,11701.4,2046,705,1748,1284,1067,1396,1401,1226,1951,1424,809
2,2016-01-15 00:00:00,11501,13016.4,1835,600,1532,1148,956,1208,1237,1048,1771,1263,711
3,2016-01-22 00:00:00,11473,11765.4,1775,612,1602,1119,929,1209,1253,1068,1710,1219,720
4,2016-01-29 00:00:00,11317,11289,1810,631,1516,1131,858,1195,1236,1065,1730,1207,717
5,2016-02-05 00:00:00,11052,10965.6,1748,620,1459,1109,954,1197,1160,1059,1604,1169,690
6,2016-02-12 00:00:00,11170,10704,1730,599,1466,1066,917,1262,1155,1040,1718,1222,700
7,2016-02-19 00:00:00,10590,10669.4,1700,588,1443,1083,881,1088,1057,999,1596,1171,657
8,2016-02-26 00:00:00,11056,10657.6,1734,582,1497,1115,930,1087,1180,1021,1707,1215,696
9,2016-03-04 00:00:00,11285,10613,1774,582,1505,1107,913,1144,1240,1093,1742,1218,721
10,2016-03-11 00:00:00,11010,10544,1768,569,1525,1097,911,1104,1190,1008,1694,1148,734
11,2016-03-18 00:00:00,11022,10405,1709,552,1460,1102,917,1136,1143,1058,1595,1292,738
12,2016-03-25 00:00:00,9635,10209.4,1485,474,1331,937,809,891,923,900,1542,1122,668
13,2016-04-01 00:00:00,10286,9668,1688,578,1362,968,859,942,1079,1039,1611,1104,712
14,2016-04-08 00:00:00,11599,9592.4,1971,606,1514,1128,911,1232,1190,1111,1828,1319,742
15,2016-04-15 00:00:00,11417,10206.2,1809,594,1572,1105,900,1183,1217,1007,1785,1282,738
16,2016-04-22 00:00:00,10925,10104.8,1597,539,1470,1008,908,1134,1189,999,1683,1250,714
17,2016-04-29 00:00:00,10413,9776.6,1396,571,1371,1014,857,1065,1147,969,1634,1128,629
18,2016-05-06 00:00:00,9137,10127.8,1261,495,1280,941,703,929,954,876,1365,994,569
19,2016-05-13 00:00:00,10637,9058.4,1447,547,1420,1055,914,1069,1190,971,1646,1143,652
20,2016-05-20 00:00:00,9953,9699.2,1328,533,1327,927,862,1013,1147,884,1534,1092,611
21,2016-05-27 00:00:00,9739,9524,1248,484,1300,936,826,995,1103,884,1489,1082,624
22,2016-06-03 00:00:00,7909,8417.2,982,431,1138,814,680,776,790,710,1242,817,500
23,2016-06-10 00:00:00,9873,9047.2,1292,542,1306,1038,839,1011,1119,939,1468,1004,584
24,2016-06-17 00:00:00,9386,9388.4,1225,473,1252,923,858,981,1037,858,1410,993,578
25,2016-06-24 00:00:00,9365,8986,1206,528,1272,925,804,1015,966,831,1408,1039,558
26,2016-07-01 00:00:00,9228,8852,1106,488,1157,936,801,954,971,880,1497,964,549
27,2016-07-08 00:00:00,9138,8872.2,1062,507,1269,910,770,956,950,796,1407,1031,524
28,2016-07-15 00:00:00,9388,8706.8,1101,485,1242,948,784,943,1054,798,1463,1052,599
29,2016-07-22 00:00:00,9350,8776.2,1168,538,1295,877,830,914,988,847,1443,1023,560
30,2016-07-29 00:00:00,9335,8712.2,1190,476,1223,910,762,923,1013,940,1414,1027,610
31,2016-08-05 00:00:00,9182,8682.6,1112,467,1316,879,739,983,1004,822,1311,1052,580
32,2016-08-12 00:00:00,9172,8651.4,1065,492,1244,886,780,941,1031,801,1346,974,641
33,2016-08-19 00:00:00,9070,8671.8,1032,476,1279,887,742,951,1005,831,1317,983,574
34,2016-08-26 00:00:00,9319,8783.4,1093,499,1250,860,793,1039,991,822,1419,1000,619
35,2016-09-02 00:00:00,7923,8020,917,398,1114,800,626,764,877,795,1251,797,470
36,2016-09-09 00:00:00,9399,8813.2,1036,478,1312,942,844,974,981,873,1384,1033,552
37,2016-09-16 00:00:00,9124,8825.8,1027,491,1222,914,736,898,998,839,1433,988,576
38,2016-09-23 00:00:00,8945,8839.4,1039,435,1230,890,730,892,979,854,1399,941,563
39,2016-09-30 00:00:00,8994,9105.6,979,481,1219,856,787,971,879,852,1345,987,592
40,2016-10-07 00:00:00,9291,9133.2,1060,465,1331,907,777,938,945,863,1456,1024,562
41,2016-10-14 00:00:00,9719,9210,1153,520,1328,940,791,966,1069,919,1524,1056,587
42,2016-10-21 00:00:00,9768,9225.6,1238,511,1322,919,831,977,1020,931,1542,1078,624
43,2016-10-28 00:00:00,9724,9445.4,1270,530,1401,914,850,966,1034,860,1472,1043,624
44,2016-11-04 00:00:00,10152,9459,1276,535,1351,1041,850,1013,1048,904,1630,1114,644
45,2016-11-11 00:00:00,10470,9584.8,1342,546,1390,1017,889,1045,1127,976,1691,1139,626
46,2016-11-18 00:00:00,10694,9751.4,1374,547,1513,1025,892,1117,1184,941,1605,1154,681
47,2016-11-25 00:00:00,10603,9572,1413,536,1432,1022,887,1090,1131,987,1679,1154,661
48,2016-12-02 00:00:00,10439,9615.4,1371,550,1491,973,888,1076,1176,936,1578,1112,643
49,2016-12-09 00:00:00,11223,10042,1591,589,1529,1193,932,1164,1212,1029,1658,1201,693
50,2016-12-16 00:00:00,10533,10317,1522,561,1444,1036,893,1098,1107,933,1634,1145,663
51,2016-12-23 00:00:00,11493,11061.8,1640,679,1594,1097,981,1149,1207,1052,1784,1223,691
52,2016-12-30 00:00:00,8003,7925,1312,456,1087,794,759,715,774,761,1236,846,558
