week,week_ended,total_deaths_all_ages,total_deaths_avg_corresponding_5,respitory_deaths,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east,london,south_east,south_west,wales
1,2018-01-05 00:00:00,12723,12079,2361,640,1747,1300,1085,1313,1404,1130,1902,1393,783
2,2018-01-12 00:00:00,15050,13167,3075,837,2113,1481,1266,1468,1677,1342,2371,1552,904
3,2018-01-19 00:00:00,14256,12418,2829,783,1828,1387,1175,1544,1562,1239,2287,1535,885
4,2018-01-26 00:00:00,13935,11954,2672,779,1855,1363,1165,1433,1553,1264,2184,1460,850
5,2018-02-02 00:00:00,13285,11605,2479,740,1728,1285,1154,1441,1468,1208,2046,1382,815
6,2018-02-09 00:00:00,12495,11333,2197,663,1615,1206,1109,1335,1359,1041,1867,1378,801
7,2018-02-16 00:00:00,12246,11059,2081,612,1665,1230,1024,1285,1307,1171,1810,1283,803
8,2018-02-23 00:00:00,12142,11125,2128,671,1677,1196,1034,1251,1300,1105,1757,1314,789
9,2018-03-02 00:00:00,10854,11037,1900,551,1485,1125,907,1308,1088,1060,1611,997,634
10,2018-03-09 00:00:00,12997,10935,2302,677,1690,1192,1072,1390,1390,1177,1919,1560,896
11,2018-03-16 00:00:00,12788,10774,2271,614,1690,1203,1116,1343,1358,1121,1954,1414,918
12,2018-03-23 00:00:00,11913,10289,1946,576,1516,1124,1038,1263,1251,1095,1853,1283,774
13,2018-03-30 00:00:00,9941,9944,1657,498,1335,973,819,1019,1074,910,1518,1047,633
14,2018-04-06 00:00:00,10794,10286,1761,534,1470,1105,886,1054,1196,1014,1578,1142,730
15,2018-04-13 00:00:00,12301,10328,1971,631,1613,1199,1068,1228,1425,1133,1883,1293,743
16,2018-04-20 00:00:00,11223,10395,1641,559,1456,1037,986,1170,1248,1039,1743,1212,688
17,2018-04-27 00:00:00,10306,10381,1426,516,1391,987,904,969,1209,947,1613,1117,614
18,2018-05-04 00:00:00,10153,9807,1369,534,1347,922,892,1113,1117,917,1570,1082,633
19,2018-05-11 00:00:00,8624,9526,1055,510,1116,886,740,823,937,841,1294,929,530
20,2018-05-18 00:00:00,10141,9978,1248,504,1390,888,943,1105,1125,913,1511,1068,667
21,2018-05-25 00:00:00,9636,9727,1179,501,1278,913,828,983,1053,932,1512,997,603
22,2018-06-01 00:00:00,8147,8163,1065,458,1142,769,716,859,839,784,1187,830,538
23,2018-06-08 00:00:00,9950,9767,1270,548,1309,985,884,1065,1157,890,1435,1057,607
24,2018-06-15 00:00:00,9343,9313,1150,454,1167,947,777,967,991,921,1442,1085,561
25,2018-06-22 00:00:00,9256,9232,1103,475,1217,944,764,971,985,855,1448,1019,562
26,2018-06-29 00:00:00,9212,9052,1055,484,1214,882,822,954,1011,824,1408,983,599
27,2018-07-06 00:00:00,9258,9030,1086,477,1280,895,788,998,940,814,1426,991,625
28,2018-07-13 00:00:00,9293,9018,1123,470,1239,901,758,961,993,941,1403,1025,583
29,2018-07-20 00:00:00,9127,9032,1107,471,1229,942,730,949,953,905,1373,971,548
30,2018-07-27 00:00:00,9141,8890,1019,477,1219,907,762,897,1008,955,1374,941,560
31,2018-08-03 00:00:00,9161,8763,1005,486,1228,817,830,961,1010,883,1396,957,574
32,2018-08-10 00:00:00,9319,8818,1019,448,1231,913,793,946,1028,947,1453,997,537
33,2018-08-17 00:00:00,8830,8905,941,446,1171,880,742,910,991,870,1361,902,518
34,2018-08-24 00:00:00,8978,9033,921,477,1134,913,780,983,993,808,1392,900,565
35,2018-08-31 00:00:00,7865,8162,827,437,1058,779,630,793,877,741,1170,845,511
36,2018-09-07 00:00:00,9445,9069,1098,534,1152,956,804,1005,996,904,1464,1000,594
37,2018-09-14 00:00:00,9191,9091,999,465,1231,865,814,956,999,834,1440,986,579
38,2018-09-21 00:00:00,9305,9063,1034,475,1226,912,776,947,990,865,1503,986,598
39,2018-09-28 00:00:00,9150,9285,987,483,1262,904,766,965,957,868,1375,965,560
40,2018-10-05 00:00:00,9503,9388,1050,514,1302,948,781,1020,990,898,1387,1020,595
41,2018-10-12 00:00:00,9649,9511,1124,486,1291,963,832,980,1071,860,1491,1043,606
42,2018-10-19 00:00:00,9864,9602,1141,527,1274,968,815,979,1045,941,1570,1088,640
43,2018-10-26 00:00:00,9603,9601,1154,526,1215,956,880,1079,993,905,1376,1004,633
44,2018-11-02 00:00:00,9529,9692,1090,511,1330,964,810,890,1042,896,1465,988,604
45,2018-11-09 00:00:00,10151,10003,1295,520,1403,981,813,1081,1094,925,1543,1106,642
46,2018-11-16 00:00:00,10193,10104,1268,490,1408,969,899,1047,1128,940,1538,1077,656
47,2018-11-23 00:00:00,9957,10050,1240,511,1357,1013,848,1001,1071,903,1503,1062,657
48,2018-11-30 00:00:00,10033,10087,1224,505,1330,998,838,1076,1077,948,1523,1040,673
49,2018-12-07 00:00:00,10287,10509,1341,539,1377,1006,830,1098,1106,958,1594,1076,674
50,2018-12-14 00:00:00,10550,10519,1386,561,1422,1108,873,1034,1130,1007,1573,1106,708
51,2018-12-21 00:00:00,11116,11343,1509,625,1439,1148,930,1145,1124,1035,1688,1225,724
52,2018-12-28 00:00:00,7131,7909,1053,459,1020,688,651,660,695,655,1062,756,461
