week,week_ended,total_deaths_all_ages,total_deaths_avg_corresponding_5,respitory_deaths,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east,london,south_east,south_west,wales
1,2017-01-06 00:00:00,11991,11782,2321,602,1665,1208,1016,1243,1187,1173,1899,1228,744
2,2017-01-13 00:00:00,13715,12692,2690,738,1840,1351,1170,1439,1450,1296,2161,1419,825
3,2017-01-20 00:00:00,13610,11773,2625,676,1786,1383,1190,1414,1484,1276,2195,1346,835
4,2017-01-27 00:00:00,12877,11441,2373,627,1666,1242,1116,1362,1488,1198,1999,1278,881
5,2017-02-03 00:00:00,12485,11128,2147,631,1625,1243,1045,1293,1384,1210,1920,1359,749
6,2017-02-10 00:00:00,12269,10935,2093,635,1566,1224,1036,1234,1411,1161,1916,1339,723
7,2017-02-17 00:00:00,11644,10835,1932,610,1528,1186,964,1243,1253,1095,1847,1217,690
8,2017-02-24 00:00:00,11794,10983,1872,636,1519,1159,954,1216,1327,1114,1834,1312,701
9,2017-03-03 00:00:00,11248,10980,1766,606,1488,1123,963,1184,1328,930,1673,1221,715
10,2017-03-10 00:00:00,11077,10816,1660,570,1464,1110,1038,1163,1230,969,1738,1144,634
11,2017-03-17 00:00:00,10697,10641,1561,581,1450,1121,963,1140,1150,946,1593,1083,653
12,2017-03-24 00:00:00,10325,10193,1436,535,1364,1065,947,1034,1134,930,1557,1107,635
13,2017-03-31 00:00:00,10027,9863,1324,509,1313,1045,870,1024,1109,888,1520,1064,658
14,2017-04-07 00:00:00,9939,10001,1378,523,1373,929,835,1048,1056,905,1522,1075,642
15,2017-04-14 00:00:00,8493,10624,1143,410,1217,795,708,868,918,801,1316,863,577
16,2017-04-21 00:00:00,9644,10625,1311,517,1362,1010,812,978,996,896,1409,984,654
17,2017-04-28 00:00:00,10908,10246,1435,583,1495,1053,882,1125,1137,1053,1678,1159,727
18,2017-05-05 00:00:00,9064,9984,1154,479,1279,872,803,902,956,804,1356,997,600
19,2017-05-12 00:00:00,10693,9158,1423,551,1368,1053,988,1059,1153,970,1685,1155,687
20,2017-05-19 00:00:00,10288,9902,1325,553,1329,1030,817,1079,1124,914,1639,1161,615
21,2017-05-26 00:00:00,10040,9640,1286,519,1349,936,802,1088,1118,953,1526,1118,602
22,2017-06-02 00:00:00,8332,8417,1076,408,1208,818,726,849,813,787,1217,897,586
23,2017-06-09 00:00:00,9766,9170,1229,514,1311,950,841,1060,1016,876,1527,1066,584
24,2017-06-16 00:00:00,9367,9473,1062,499,1272,918,819,1016,990,829,1380,1015,599
25,2017-06-23 00:00:00,9627,9117,1215,509,1328,901,841,991,991,902,1473,1058,608
26,2017-06-30 00:00:00,9334,8956,1170,451,1174,914,804,996,1028,903,1456,1038,546
27,2017-07-07 00:00:00,9263,8959,1012,495,1278,904,802,985,1010,820,1395,996,556
28,2017-07-14 00:00:00,9376,8893,1141,502,1225,953,862,973,1005,843,1393,1031,564
29,2017-07-21 00:00:00,9113,8946,959,514,1196,856,809,947,970,867,1389,979,551
30,2017-07-28 00:00:00,8882,8889,1004,456,1174,881,738,941,949,783,1381,963,586
31,2017-08-04 00:00:00,8941,8762,1009,507,1192,891,784,911,955,792,1345,946,590
32,2017-08-11 00:00:00,9038,8772,937,479,1171,882,772,943,1005,858,1346,982,572
33,2017-08-18 00:00:00,9299,8802,1081,464,1260,849,747,936,1018,929,1481,998,592
34,2017-08-25 00:00:00,9382,8953,1121,482,1299,848,783,966,1002,907,1502,1001,570
35,2017-09-01 00:00:00,8149,8062,940,434,1117,836,667,780,853,766,1205,908,555
36,2017-09-08 00:00:00,9497,8940,1058,512,1307,921,808,1017,1066,866,1445,993,542
37,2017-09-15 00:00:00,9454,8929,1022,539,1285,877,758,1001,990,871,1493,1006,609
38,2017-09-22 00:00:00,9534,8923,1088,504,1221,919,814,978,1096,900,1422,1074,585
39,2017-09-29 00:00:00,9689,9120,1153,507,1305,957,782,990,1071,882,1468,1109,593
40,2017-10-06 00:00:00,9778,9248,1208,501,1289,946,818,1003,1057,923,1521,1063,631
41,2017-10-13 00:00:00,9940,9411,1219,513,1340,1011,827,1001,1085,928,1497,1068,640
42,2017-10-20 00:00:00,10031,9452,1199,550,1359,1019,806,997,1056,934,1541,1098,650
43,2017-10-27 00:00:00,9739,9563,1144,509,1375,903,743,1058,1037,931,1539,1020,608
44,2017-11-03 00:00:00,9984,9562,1244,536,1356,1006,850,1014,1129,897,1473,1105,595
45,2017-11-10 00:00:00,10346,9871,1314,510,1365,1042,931,1117,1132,931,1572,1117,598
46,2017-11-17 00:00:00,10275,10030,1362,502,1381,1027,898,1096,1091,949,1539,1103,666
47,2017-11-24 00:00:00,10621,9861,1319,550,1419,1089,862,1080,1148,1038,1623,1151,639
48,2017-12-01 00:00:00,10538,9858,1436,562,1453,1045,878,1065,1168,972,1608,1123,636
49,2017-12-08 00:00:00,10781,10322,1497,612,1538,1013,970,1066,1139,1008,1649,1140,630
50,2017-12-15 00:00:00,11217,10353,1603,595,1509,1048,971,1128,1226,1042,1765,1204,708
51,2017-12-22 00:00:00,12517,11130,1905,719,1709,1181,1039,1318,1322,1153,1961,1332,762
52,2017-12-29 00:00:00,8487,7831,1431,500,1194,840,685,844,878,814,1305,863,541
