week,week_ended,total_deaths_all_ages,total_deaths_avg_corresponding_5,respitory_deaths,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east,london,south_east,south_west,wales
1,2010-01-08 00:00:00,12968,12050,2345,648,1686,1317,1091,1370,1412,1226,1904,1395,879
2,2010-01-15 00:00:00,12541,12600,2293,612,1772,1163,1098,1258,1263,1262,1981,1354,758
3,2010-01-22 00:00:00,11762,11692.2,1955,550,1576,1133,963,1216,1174,1186,1877,1294,774
4,2010-01-29 00:00:00,11056,11069.2,1698,555,1495,1031,938,1106,1143,1093,1856,1150,663
5,2010-02-05 00:00:00,10524,10840.4,1635,556,1385,987,874,1097,1156,1035,1576,1147,688
6,2010-02-12 00:00:00,10117,10602.4,1566,553,1402,941,858,1024,1032,1049,1547,1070,622
7,2010-02-19 00:00:00,10102,10774.8,1551,521,1371,960,802,1029,1099,1031,1570,1069,636
8,2010-02-26 00:00:00,10295,10715.2,1468,471,1363,1040,880,1020,1149,983,1594,1098,665
9,2010-03-05 00:00:00,9981,10793.8,1412,535,1417,952,778,1060,1064,917,1580,1041,623
10,2010-03-12 00:00:00,9792,10572.8,1381,512,1390,984,800,941,1074,960,1457,1042,607
11,2010-03-19 00:00:00,9729,10432.2,1303,529,1316,965,820,993,1005,979,1466,1015,617
12,2010-03-26 00:00:00,9631,9646.8,1290,498,1292,965,792,970,1039,920,1484,1066,591
13,2010-04-02 00:00:00,8004,10315,1092,394,1130,768,682,874,814,731,1174,921,501
14,2010-04-09 00:00:00,9756,10013.8,1415,517,1357,937,850,1010,1002,981,1473,991,608
15,2010-04-16 00:00:00,9892,9696,1305,516,1369,995,794,998,1068,950,1476,1056,639
16,2010-04-23 00:00:00,9449,10259.8,1233,486,1328,880,782,971,1048,918,1438,1019,557
17,2010-04-30 00:00:00,9503,10025,1232,516,1252,964,759,994,1021,916,1443,999,616
18,2010-05-07 00:00:00,8343,9378.8,1144,444,1150,870,660,821,899,797,1252,872,555
19,2010-05-14 00:00:00,9483,9090,1214,516,1276,944,812,935,937,963,1463,1055,565
20,2010-05-21 00:00:00,9190,9474.8,1164,502,1248,896,757,930,964,916,1401,965,591
21,2010-05-28 00:00:00,9452,9384.2,1315,474,1292,983,782,962,1033,939,1415,978,563
22,2010-06-04 00:00:00,8178,8464.6,1057,457,1145,827,661,807,845,848,1202,831,541
23,2010-06-11 00:00:00,9259,9332.4,1191,539,1268,902,795,931,962,908,1413,927,591
24,2010-06-18 00:00:00,8513,9072.8,988,450,1118,834,664,894,908,812,1299,988,525
25,2010-06-25 00:00:00,8461,9013.8,984,464,1157,863,715,894,897,805,1283,848,510
26,2010-07-02 00:00:00,8973,8791.6,1135,446,1236,851,734,924,920,887,1425,939,592
27,2010-07-09 00:00:00,8627,8914,1074,507,1163,814,694,855,886,861,1315,950,555
28,2010-07-16 00:00:00,8541,8745.2,978,444,1153,829,753,867,851,900,1285,862,573
29,2010-07-23 00:00:00,8261,8762.8,878,442,1108,857,685,837,901,852,1154,875,528
30,2010-07-30 00:00:00,8257,8846.2,903,453,1155,858,629,869,882,777,1187,873,552
31,2010-08-06 00:00:00,8467,8669.4,906,479,1110,849,647,894,883,826,1303,906,538
32,2010-08-13 00:00:00,8318,8611.4,914,417,1138,844,696,893,847,783,1292,874,510
33,2010-08-20 00:00:00,8584,8651.4,1046,447,1169,850,721,905,840,882,1280,939,526
34,2010-08-27 00:00:00,8635,8683.8,962,471,1187,895,675,901,898,817,1307,938,511
35,2010-09-03 00:00:00,7708,8100.8,888,407,1081,788,626,784,784,740,1151,817,514
36,2010-09-10 00:00:00,8961,8596.4,1032,446,1313,866,784,877,897,838,1372,992,531
37,2010-09-17 00:00:00,8727,8654,1003,442,1256,830,736,856,891,880,1348,933,508
38,2010-09-24 00:00:00,8943,8652.4,1012,468,1137,907,819,920,949,858,1364,930,567
39,2010-10-01 00:00:00,8759,8827,1068,448,1252,885,698,892,898,852,1294,934,579
40,2010-10-08 00:00:00,9195,8894.6,1183,501,1265,853,744,931,967,955,1448,937,580
41,2010-10-15 00:00:00,9218,9124.6,1188,485,1239,907,737,988,993,898,1415,976,562
42,2010-10-22 00:00:00,9286,9192,1232,506,1206,1002,744,936,990,894,1450,942,599
43,2010-10-29 00:00:00,9275,9327.6,1194,519,1342,917,766,892,1012,944,1363,968,531
44,2010-11-05 00:00:00,9668,9420.2,1306,491,1370,923,835,943,1043,961,1517,992,572
45,2010-11-12 00:00:00,9406,9547.8,1274,514,1319,916,790,956,1031,900,1430,963,564
46,2010-11-19 00:00:00,9437,9671.2,1224,498,1306,940,807,972,942,889,1452,1010,597
47,2010-11-26 00:00:00,9473,9856,1250,463,1356,960,851,919,985,883,1440,987,605
48,2010-12-03 00:00:00,9220,9898.4,1215,458,1343,888,750,1016,994,808,1293,1003,651
49,2010-12-10 00:00:00,11193,10175.2,1586,549,1413,1220,896,1114,1140,1107,1866,1170,695
50,2010-12-17 00:00:00,10880,10453.6,1674,558,1509,1097,913,1121,1114,1015,1701,1143,690
51,2010-12-24 00:00:00,11484,10925,2000,616,1605,1098,971,1159,1233,1149,1717,1157,751
52,2010-12-31 00:00:00,9689,8825,1916,527,1408,976,834,1036,950,965,1331,924,707
