week,week_ended,total_deaths_all_ages,total_deaths_avg_corresponding_5,respitory_deaths,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east,london,south_east,south_west,wales
1,7-Jan-11,12644,12166.2,2706,616,1662,1351,1135,1264,1323,1188,1911,1318,846
2,14-Jan-11,13133,12540,2699,654,1797,1268,1158,1390,1282,1267,2089,1428,772
3,21-Jan-11,11438,11711,2103,584,1555,1095,989,1193,1146,1067,1826,1320,638
4,28-Jan-11,10555,11031.8,1754,537,1429,1091,931,986,1085,1020,1704,1093,656
5,4-Feb-11,10235,10674.8,1587,556,1366,972,877,1066,1120,943,1559,1070,687
6,11-Feb-11,10019,10442.2,1506,526,1359,997,827,1062,1032,1010,1461,1042,679
7,18-Feb-11,9757,10586.6,1434,551,1343,992,843,974,986,927,1503,1011,609
8,25-Feb-11,9433,10558.4,1370,575,1366,941,756,961,947,873,1443,972,580
9,04-Mar-11,9453,10483.4,1379,498,1329,864,789,957,991,900,1515,999,590
10,11-Mar-11,9648,10232.4,1412,526,1295,970,815,964,971,946,1461,1051,630
11,18-Mar-11,9842,10084.2,1412,533,1279,969,809,1060,1075,953,1523,1018,593
12,25-Mar-11,9707,9661.8,1466,496,1291,1023,790,943,1034,893,1519,1062,633
13,01-Apr-11,9312,9714.4,1336,496,1322,937,762,972,967,863,1425,974,574
14,08-Apr-11,9557,9822.4,1378,478,1310,946,801,958,1073,931,1481,991,566
15,15-Apr-11,9327,9639.8,1322,493,1305,950,772,915,963,923,1402,1010,573
16,22-Apr-11,8335,10122.4,1218,411,1171,841,714,839,863,801,1268,859,535
17,2011-04-29 00:00:00,8064,9918.8,1173,429,1104,841,726,764,828,784,1161,845,565
18,2011-05-06 00:00:00,9853,9221.2,1374,543,1324,1009,805,1028,997,923,1479,1069,654
19,2011-05-13 00:00:00,10140,9016.8,1380,504,1328,985,848,968,1108,907,1716,1128,616
20,2011-05-20 00:00:00,8949,9373.4,1154,496,1276,879,678,921,929,815,1414,936,577
21,2011-05-27 00:00:00,9163,9309.4,1232,511,1302,890,721,946,959,884,1393,942,583
22,2011-06-03 00:00:00,7913,8339.4,1020,441,1044,826,682,807,804,776,1161,807,544
23,2011-06-10 00:00:00,9254,9322,1153,457,1250,899,739,895,1015,868,1468,1031,601
24,2011-06-17 00:00:00,8961,8984.8,1153,472,1306,889,708,899,941,852,1378,982,512
25,2011-06-24 00:00:00,8715,8812.8,1120,435,1142,853,738,952,888,825,1342,969,544
26,2011-07-01 00:00:00,8710,8757.8,1073,479,1215,872,707,867,937,880,1304,899,526
27,2011-07-08 00:00:00,8705,8883.8,1084,458,1215,850,731,936,883,843,1282,901,579
28,2011-07-15 00:00:00,8461,8629.6,1065,432,1159,851,684,886,924,855,1243,857,538
29,2011-07-22 00:00:00,8500,8643,995,488,1139,847,674,884,871,814,1293,932,529
30,2011-07-29 00:00:00,8456,8737.4,1007,469,1190,851,684,851,894,801,1235,932,526
31,2011-08-05 00:00:00,8787,8619.2,1053,480,1235,861,746,822,907,858,1368,931,547
32,2011-08-12 00:00:00,8573,8549.8,1050,483,1212,819,687,913,888,860,1276,900,515
33,2011-08-19 00:00:00,8426,8588.2,954,453,1146,819,643,856,920,873,1267,930,491
34,2011-08-26 00:00:00,8466,8642.8,970,417,1150,873,735,821,849,869,1247,915,563
35,2011-09-02 00:00:00,7717,7984.6,932,395,1092,765,606,813,776,735,1220,825,471
36,2011-09-09 00:00:00,8769,8619.4,988,481,1161,890,739,908,896,852,1283,950,580
37,2011-09-16 00:00:00,8612,8671.2,1008,430,1121,902,703,897,927,860,1363,877,505
38,2011-09-23 00:00:00,8527,8707,1014,445,1119,877,716,819,899,852,1329,942,506
39,2011-09-30 00:00:00,8919,8829.4,1058,487,1229,912,727,873,959,888,1377,902,544
40,2011-10-07 00:00:00,8719,8908.2,1140,437,1216,895,722,839,923,862,1314,923,567
41,2011-10-14 00:00:00,8705,9120,1061,480,1169,860,745,862,914,882,1359,909,511
42,2011-10-21 00:00:00,8638,9240.2,1098,437,1150,881,685,921,857,795,1394,935,557
43,2011-10-28 00:00:00,9139,9327.4,1132,516,1267,935,775,928,961,847,1369,916,604
44,2011-11-04 00:00:00,9640,9501,1291,507,1301,1039,838,945,1017,936,1391,1027,617
45,2011-11-11 00:00:00,9042,9580.2,1249,518,1244,855,769,932,927,868,1381,962,571
46,2011-11-18 00:00:00,9305,9654.2,1218,495,1310,910,768,970,984,859,1452,987,554
47,2011-11-25 00:00:00,9166,9787.6,1229,462,1238,907,787,907,938,878,1405,1013,599
48,2011-12-02 00:00:00,9203,9677.4,1250,496,1229,949,745,991,990,845,1432,925,591
49,2011-12-09 00:00:00,9828,10328.2,1395,529,1360,1013,827,940,1015,995,1532,991,602
50,2011-12-16 00:00:00,10348,10500.8,1471,543,1449,1029,849,1068,1080,1022,1547,1116,623
51,2011-12-23 00:00:00,11151,10994,1666,620,1518,1080,949,1120,1213,1061,1696,1179,680
52,2011-12-30 00:00:00,8472,8938.8,1407,443,1250,891,709,846,881,844,1162,870,554
