week,week_ended,total_deaths_all_ages,total_deaths_avg_corresponding_5,respitory_deaths,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east,london,south_east,south_west,wales
1,2012-01-06 00:00:00,10514,12455,1789,520,1442,1069,852,1002,1127,1096,1584,1139,660
2,2012-01-13 00:00:00,11343,12851.4,1934,611,1452,1150,922,1165,1189,1099,1836,1177,707
3,2012-01-20 00:00:00,10393,11812.8,1629,546,1429,1093,869,1038,1050,974,1652,1088,635
4,2012-01-27 00:00:00,10320,11053.6,1584,556,1377,1074,871,1077,1047,993,1569,1095,644
5,2012-02-03 00:00:00,10117,10614.6,1622,507,1382,1010,856,1046,1105,1020,1507,1083,586
6,2012-02-10 00:00:00,10287,10316.6,1612,493,1354,1039,890,1043,1088,1032,1597,1116,622
7,2012-02-17 00:00:00,10532,10402.2,1682,533,1430,1037,857,1015,1102,1127,1668,1117,628
8,2012-02-24 00:00:00,11086,10326.8,1826,563,1465,1086,935,1086,1204,1159,1787,1148,630
9,2012-03-02 00:00:00,10945,10157.8,1892,504,1417,1085,868,1128,1182,1149,1738,1171,668
10,2012-03-09 00:00:00,10507,9962.4,1647,533,1419,1006,856,1099,1155,1002,1652,1089,679
11,2012-03-16 00:00:00,10041,9908.6,1610,478,1300,1031,867,985,1065,1002,1645,1043,610
12,2012-03-23 00:00:00,9864,9459.2,1536,507,1315,985,804,961,1094,941,1545,1052,637
13,2012-03-30 00:00:00,9634,9392.4,1415,487,1363,892,830,935,1036,935,1516,1029,593
14,2012-04-06 00:00:00,8520,9643,1234,450,1181,827,739,827,880,817,1326,857,596
15,2012-04-13 00:00:00,9992,9693.6,1498,512,1445,969,829,972,1097,967,1488,1030,662
16,2012-04-20 00:00:00,10816,9643.6,1633,584,1496,1034,913,1136,1153,977,1673,1183,644
17,2012-04-27 00:00:00,10238,9454,1491,556,1306,1024,879,1051,1108,942,1597,1092,655
18,2012-05-04 00:00:00,9957,9375,1488,538,1392,964,852,1070,1066,903,1487,1051,609
19,2012-05-11 00:00:00,8868,9085,1304,441,1255,820,786,876,950,844,1378,909,590
20,2012-05-18 00:00:00,9913,9271.8,1441,505,1347,1012,805,1090,1027,907,1457,1094,636
21,2012-05-25 00:00:00,9602,9275,1256,505,1383,933,747,965,1007,924,1497,1019,603
22,2012-06-01 00:00:00,9602,8223.2,1330,514,1310,978,783,945,1026,888,1478,1051,605
23,2012-06-08 00:00:00,6781,9240.2,889,362,984,714,557,647,660,663,953,733,489
24,2012-06-15 00:00:00,10170,8878.4,1401,539,1360,1000,853,1116,1082,961,1515,1090,630
25,2012-06-22 00:00:00,9054,8750.4,1168,482,1255,861,757,960,942,827,1441,950,559
26,2012-06-29 00:00:00,8856,8718.2,1109,508,1203,894,810,896,931,835,1297,955,509
27,2012-07-06 00:00:00,8909,8764,1107,478,1184,923,738,927,975,796,1365,933,573
28,2012-07-13 00:00:00,8754,8577,1098,441,1218,828,738,898,944,865,1254,973,572
29,2012-07-20 00:00:00,8684,8489.2,1025,459,1217,889,730,909,815,827,1311,943,567
30,2012-07-27 00:00:00,8877,8549.4,1125,496,1204,937,718,896,930,872,1291,946,558
31,2012-08-03 00:00:00,8942,8594,1143,480,1212,844,767,868,964,829,1401,971,576
32,2012-08-10 00:00:00,8810,8546.8,1068,469,1215,871,746,935,889,808,1336,968,548
33,2012-08-17 00:00:00,8776,8552.2,1048,452,1138,872,707,909,962,807,1335,962,604
34,2012-08-24 00:00:00,8977,8577,1083,460,1211,917,749,937,1001,844,1342,936,553
35,2012-08-31 00:00:00,7617,7901,880,397,1075,793,634,812,790,734,1088,793,478
36,2012-09-07 00:00:00,8848,8593.2,982,450,1233,853,764,954,933,829,1304,974,534
37,2012-09-14 00:00:00,8641,8669.8,1031,475,1178,940,735,897,858,799,1319,902,511
38,2012-09-21 00:00:00,8839,8687.8,1065,518,1268,882,725,878,893,811,1305,997,538
39,2012-09-28 00:00:00,8865,8864.4,1082,468,1223,891,712,902,918,830,1343,942,615
40,2012-10-05 00:00:00,9070,8954.6,1151,471,1299,858,714,914,920,855,1455,997,561
41,2012-10-12 00:00:00,9441,9030.4,1161,467,1298,940,765,965,987,887,1475,1022,613
42,2012-10-19 00:00:00,9284,9146.2,1192,510,1277,901,791,883,1018,897,1443,1003,543
43,2012-10-26 00:00:00,9550,9311,1288,503,1355,948,794,990,970,920,1480,1001,574
44,2012-11-02 00:00:00,9335,9540.2,1233,459,1348,928,753,951,973,898,1393,998,609
45,2012-11-09 00:00:00,9683,9478.6,1306,459,1348,928,753,951,973,898,1393,998,609
46,2012-11-16 00:00:00,9900,9551.4,1354,507,1370,954,763,1000,1007,926,1539,1015,586
47,2012-11-23 00:00:00,9679,9640.2,1320,550,1276,1017,836,1022,1011,987,1496,1074,608
48,2012-11-30 00:00:00,9394,9579.6,1305,539,1236,929,794,999,1059,956,1483,1031,629
49,2012-12-07 00:00:00,9844,10335.8,1368,492,1321,897,765,958,971,901,1415,983,668
50,2012-12-14 00:00:00,10388,10587.4,1540,543,1330,1017,827,1014,1003,899,1492,1048,650
51,2012-12-21 00:00:00,11461,11179,1783,584,1433,977,869,1085,1062,986,1610,1017,744
52,2012-12-28 00:00:00,8096,8938.8,1407,421,1174,845,696,792,809,792,1179,821,552
