week,week_ended,total_deaths_all_ages,total_deaths_avg_corresponding_5,respitory_deaths,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east,london,south_east,south_west,wales
1,2013-01-04 00:00:00,11620,12378.8,2235,696,1545,1138,976,1268,1198,1080,1793,1174,725
2,2013-01-11 00:00:00,12541,12881.4,2508,732,1650,1213,1025,1325,1299,1182,1988,1346,755
3,2013-01-18 00:00:00,11075,11734.8,2015,646,1539,1155,928,1072,1232,1012,1680,1149,647
4,2013-01-25 00:00:00,11262,11028.2,1903,607,1571,1163,919,1158,1193,1063,1643,1191,738
5,2013-02-01 00:00:00,11314,10481.4,1939,599,1481,1121,956,1149,1215,1079,1734,1211,749
6,2013-02-08 00:00:00,11044,10217.4,1831,565,1533,1102,873,1172,1144,1052,1725,1182,682
7,2013-02-15 00:00:00,11030,10210.8,1863,585,1542,1126,912,1174,1138,1117,1575,1146,697
8,2013-02-22 00:00:00,10850,10272.4,1834,554,1522,1102,939,1074,1116,1048,1631,1159,688
9,2013-03-01 00:00:00,10783,10115.2,1851,532,1525,1056,893,1093,1171,1004,1693,1155,642
10,2013-03-08 00:00:00,11245,9980.2,1981,529,1568,1088,950,1198,1210,1041,1724,1198,719
11,2013-03-15 00:00:00,11180,9881,2054,513,1538,1067,912,1223,1148,1019,1726,1286,720
12,2013-03-22 00:00:00,11075,9432.6,1893,517,1534,1152,987,1121,1168,1017,1631,1195,729
13,2013-03-29 00:00:00,9280,9348.6,1588,466,1300,927,764,960,908,902,1403,1022,617
14,2013-04-05 00:00:00,10890,9667.6,1938,516,1531,1113,911,1153,1084,1041,1579,1169,736
15,2013-04-12 00:00:00,12147,9620.2,2138,600,1660,1147,952,1371,1233,1125,1914,1320,792
16,2013-04-19 00:00:00,11752,9707.8,2046,565,1524,1139,1014,1197,1274,1062,1801,1322,770
17,2013-04-26 00:00:00,10625,9515,1667,505,1449,1085,869,1066,1134,981,1648,1159,708
18,2013-05-03 00:00:00,10169,9479.2,1519,555,1347,966,852,1042,1070,952,1612,1094,657
19,2013-05-10 00:00:00,8814,9096,1263,483,1213,895,718,870,954,868,1306,942,547
20,2013-05-17 00:00:00,9847,9345,1421,484,1295,995,823,1047,1040,919,1546,1068,603
21,2013-05-24 00:00:00,9530,9311.2,1262,489,1293,978,776,1000,978,863,1501,1020,606
22,2013-05-31 00:00:00,8333,8460.2,1098,488,1176,779,695,846,875,769,1267,856,557
23,2013-06-07 00:00:00,9482,8723.6,1291,502,1256,917,803,1002,1004,870,1525,961,603
24,2013-06-14 00:00:00,8869,9060.4,1131,468,1206,874,735,909,947,865,1318,975,556
25,2013-06-21 00:00:00,8904,8770.2,1158,467,1163,850,757,861,994,866,1381,947,583
26,2013-06-28 00:00:00,8589,8759.4,1108,476,1150,817,696,846,1022,811,1310,906,533
27,2013-07-05 00:00:00,8790,8749.2,1073,449,1190,868,769,894,912,833,1415,926,520
28,2013-07-12 00:00:00,8533,8546,1095,413,1212,861,702,902,860,797,1305,914,534
29,2013-07-19 00:00:00,8790,8453.8,1092,480,1130,902,718,969,907,803,1394,958,513
30,2013-07-26 00:00:00,8476,8542.8,1061,426,1173,789,751,852,864,837,1282,922,553
31,2013-08-02 00:00:00,8159,8644.4,996,395,1121,851,648,853,866,766,1269,853,518
32,2013-08-09 00:00:00,8280,8533,982,417,1123,855,715,828,874,717,1302,911,516
33,2013-08-16 00:00:00,8231,8565.2,972,461,1133,819,642,849,830,767,1274,904,524
34,2013-08-23 00:00:00,8579,8620.4,996,447,1171,854,664,902,902,790,1389,909,524
35,2013-08-30 00:00:00,7688,7809.2,868,393,1062,790,647,754,775,754,1164,808,511
36,2013-09-06 00:00:00,8905,8612.6,1042,485,1209,874,747,895,922,810,1355,1003,569
37,2013-09-13 00:00:00,8347,8661.6,895,438,1105,833,721,881,888,770,1253,888,530
38,2013-09-20 00:00:00,8635,8674.4,994,450,1145,875,723,842,904,813,1352,953,543
39,2013-09-27 00:00:00,9155,8866.2,1099,469,1277,935,742,930,985,839,1429,960,558
40,2013-10-04 00:00:00,9191,8961.8,1149,526,1251,862,786,910,979,915,1374,972,589
41,2013-10-11 00:00:00,8939,9127,1143,481,1186,933,753,915,933,859,1325,971,555
42,2013-10-18 00:00:00,9237,9165.4,1157,504,1231,865,792,937,1033,862,1378,987,594
43,2013-10-25 00:00:00,9236,9331.6,1215,482,1227,876,803,951,943,870,1471,1007,551
44,2013-11-01 00:00:00,9107,9474,1206,523,1258,875,769,963,997,835,1336,977,559
45,2013-11-08 00:00:00,9449,9511.6,1246,494,1221,950,765,963,1008,918,1455,1052,591
46,2013-11-15 00:00:00,9583,9591.2,1277,565,1301,954,804,925,1006,922,1428,1044,597
47,2013-11-22 00:00:00,9587,9542.8,1235,503,1357,898,811,992,1003,879,1485,1020,609
48,2013-11-29 00:00:00,9636,9434.2,1241,523,1319,932,803,986,985,882,1500,1054,627
49,2013-12-06 00:00:00,9908,10195.8,1336,486,1307,974,837,1000,1059,895,1605,1102,621
50,2013-12-13 00:00:00,10033,10584.4,1451,478,1426,1038,802,1058,1007,917,1505,1126,654
51,2013-12-20 00:00:00,10335,11308,1484,536,1366,1052,901,1091,1067,975,1577,1101,644
52,2013-12-27 00:00:00,6606,8686.8,966,374,925,689,563,616,711,590,1019,692,404
