"Deaths registered weekly, by sex and age"
"Topic: |Deaths"
""
"Age, 31 December";"Total";"Total";"Total";"0 to 64 years";"0 to 64 years";"0 to 64 years";"65 to 79 years";"65 to 79 years";"65 to 79 years";"80 years or older";"80 years or older";"80 years or older"
"Sex";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female"
"Periods";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"1996 week 7";"3046";"1525";"1521";"533";"332";"201";"1042";"620";"422";"1471";"573";"898"
"1996 week 8";"2887";"1415";"1472";"464";"287";"177";"959";"556";"403";"1464";"572";"892"
"1996 week 9";"2878";"1448";"1430";"520";"308";"212";"956";"561";"395";"1402";"579";"823"
"1996 week 10";"2714";"1343";"1371";"459";"298";"161";"941";"561";"380";"1314";"484";"830"
"1996 week 11";"2807";"1400";"1407";"522";"330";"192";"926";"563";"363";"1359";"507";"852"
"1996 week 12";"2784";"1335";"1449";"493";"298";"195";"973";"567";"406";"1318";"470";"848"
"1996 week 13";"2727";"1346";"1381";"522";"319";"203";"950";"561";"389";"1255";"466";"789"
"1996 week 14";"2765";"1385";"1380";"491";"308";"183";"962";"575";"387";"1312";"502";"810"
"1996 week 15";"2642";"1352";"1290";"493";"320";"173";"916";"548";"368";"1233";"484";"749"
"1996 week 16";"2856";"1404";"1452";"529";"329";"200";"987";"588";"399";"1340";"487";"853"
"1996 week 17";"2703";"1373";"1330";"489";"307";"182";"944";"586";"358";"1270";"480";"790"
"1996 week 18";"2498";"1272";"1226";"475";"311";"164";"868";"526";"342";"1155";"435";"720"
"1996 week 19";"2519";"1281";"1238";"482";"306";"176";"873";"536";"337";"1164";"439";"725"
"1996 week 20";"2598";"1324";"1274";"525";"326";"199";"925";"550";"375";"1148";"448";"700"
"1996 week 21";"2514";"1263";"1251";"511";"310";"201";"894";"539";"355";"1109";"414";"695"
"1996 week 22";"2523";"1265";"1258";"513";"332";"181";"876";"510";"366";"1134";"423";"711"
"1996 week 23";"2752";"1343";"1409";"521";"314";"207";"868";"521";"347";"1363";"508";"855"
"1996 week 24";"2506";"1289";"1217";"454";"298";"156";"902";"533";"369";"1150";"458";"692"
"1996 week 25";"2366";"1164";"1202";"477";"304";"173";"819";"470";"349";"1070";"390";"680"
"1996 week 26";"2376";"1194";"1182";"482";"287";"195";"863";"513";"350";"1031";"394";"637"
